speed_mean,speed_std,speed_min,speed_max,speed_variance,total_distance_km,total_time_hrs,loitering_score,max_gap_hrs,total_gaps,gap_flag,position_jump_km,dist_from_port_km,behavioral_score,speed_consistency,MMSI,VesselName,final_risk_score
-1.2323744090157178,-0.08845356346486265,-1.6370251784793233,-0.380551363653039,-0.10933568731714867,-0.9471565902542892,0.026950445093737743,-0.30543589226774365,-1.270201134635747,-0.26884943756778307,0.05858172479446081,-1.4985854372558873,-0.13107162178090026,-0.016520522939025267,-0.20268080574178515,311321000,VISION OF THE SEAS,0.7718
-0.899596569695099,-0.03442376034092272,-1.4881420060686779,-0.24524970918375066,-0.025487023618364874,-1.5912078209857163,0.017977420130877865,-0.37766976556746146,-0.9380832294034211,-0.16387859321711748,0.056184634192206546,-1.7037448505257873,-0.5148010655197832,0.00016122323472866614,-0.08177568372822562,403591000,JALADI,0.7717
-0.7615365049875252,-0.012070840914133168,-1.4210683661538226,-0.16897740271186862,-0.011842106849586864,-1.3118034153569833,-0.11218070901496777,-0.29812298250301594,-1.190706962811154,-0.239247863077839,0.056543111351241175,-1.69712240921526,-0.6661425371973044,0.00044289879497668046,-0.048309729431547065,538005679,SILVER MONIKA,0.7653
-0.4098238859731229,-0.7163551487322815,0.0640433882638859,-0.4552174935939904,-0.8809455609753906,-1.2448637593291223,0.09528461504612076,-0.2535108037022301,-0.5302963936796368,-0.03347528247740844,0.09080777027198249,-1.556145073181168,-1.1128559477671995,0.007924724600002285,-0.9791081189136339,224444000,LA MANCHA KNUTSEN,0.7639
-1.2665754197795127,-0.09828885701404794,-1.6666174585390088,-0.43662647798558246,-0.08720921168866774,-0.8511324966009421,-0.09048843225775734,-0.29091990817855007,-1.091331134706606,-0.2359198700324083,0.055818828228532465,-1.4713652363668668,-0.10149691809474867,-0.016791473155490563,-0.14150350704005377,370039000,CARNIVAL HORIZON,0.7593
-1.357879895402274,-0.18389022312683953,-1.5597403907711733,-0.4755690903874587,-0.15254060557065946,-1.4120560610031365,-0.04876174898272119,-0.31184689246924463,-0.260800938115221,-0.021622675059386372,0.07434907629693686,-1.5395175640630598,-0.20580487089001837,-0.011238265456740627,-0.2899477376121685,311058700,DISNEY FANTASY,0.7553
-0.8888432784360415,-0.7114492127066065,0.06448463524003738,-0.4439757437829746,-0.844371308964705,-1.2118475018398178,-0.04222457216669375,-0.2592593519230309,-0.5447408999157364,-0.041353523063658235,0.08575666994946449,-1.6030761772676365,-0.23994044223725883,0.021214633837733365,-1.0698894977596463,636011792,PREMIUM DO BRASIL,0.7528
-1.2960232036419133,-0.056364271108286935,-1.7902676607432515,-0.498219660311807,-0.03217475636685346,-0.9268454000893551,-0.32598656645600566,-0.3643446886326523,-0.2594056752617764,-0.17401538946847653,0.0512348524854805,-1.6181513675060546,-0.14926833977899684,-0.0029733602720923187,-0.07836227874788976,248325000,CELEBRITY EDGE,0.7443
-0.8305122138087888,-0.0902776922006847,-1.3879892516581196,-0.16426866476009183,-0.08426342495580427,-1.3826020340690754,-0.0992661518557347,-0.31296053293440584,-0.9545410553181184,-0.1496842338755724,0.06098246682212674,-1.7053582283649542,-0.2912745718430881,-0.02687844440316696,-0.07722674448958443,538003924,CELSIUS EAGLE,0.7404
-1.0235992135961485,0.009970739062730572,-1.7088526859037847,-0.28008900617455107,0.0030970348342364293,-1.1958977868984224,-0.24321801952602087,-0.340518699646518,-0.5906569371391205,-0.17547646085901702,0.04223958079407418,-1.6789402108192677,-0.10582869190859662,0.004869389517451853,-0.0758905239258947,310817000,GASLOG WELLINGTON,0.7339
