MMSI,speed_mean,speed_std,speed_min,speed_max,speed_variance,total_distance_km,total_time_hrs,loitering_score,max_gap_hrs,total_gaps,gap_flag,position_jump_km,last_lat,last_lon,dist_from_port_km,behavioral_score,speed_consistency,VesselTypeLabel,VesselName,iso_risk_score,iso_flag,rendezvous_flag,rendezvous_risk,lstm_risk_score,lstm_flag,final_risk_score,final_flag
319436000,0.0,0.0,0.0,0.0,0.0,1.327,146.411,0.991,21.603,6.0,1.0,0.011,26.10235,-80.11741,0.27,0.0,0.0,Pleasure,GEORGIA,0.01836437819096126,0,0,0.0,4.823499925679831e-07,0,0.0092,0
319444000,0.0,0.0,0.0,0.0,0.0,1.056,146.312,0.9928,21.601,6.0,1.0,0.001,26.77826,-80.05283,1.32,0.0,0.0,Pleasure,CRILI,0.01304525748251828,0,0,0.0,4.902470753038242e-07,0,0.0065,0
319445000,3.534837545126354,4.206349638245314,0.0,13.7,17.693377279166423,203.1,146.373,0.4188,21.549,6.0,1.0,38.51,28.86219,-95.16401,21.17,1.0798,2.8062121088683445,Tanker,STOLT EFFORT,0.19412373684065776,0,0,0.0,6.9805309461965495e-06,0,0.0971,0
319448000,0.0,0.0,0.0,0.0,0.0,1.237,146.413,0.9916,21.552,6.0,1.0,0.007,47.64781,-122.33153,5.31,0.0,0.0,Pleasure,ONE MORE TOY,0.014154857499758866,0,0,0.0,5.461928871632437e-07,0,0.0071,0
319457000,12.595774647887323,0.1761983245251712,12.1,13.0,0.031045849565477953,60.895,2.596,0.0409,0.036,0.0,0.0,0.0,18.85102,-66.44377,49.75,0.0,0.0,Pleasure,KATHARINE,0.5442282138522931,0,0,0.0,0.0001120865600074299,0,0.2721,0
319466000,0.04212328767123288,0.04946044139896932,0.0,0.1,0.0024463352633808705,0.0,146.21,1.0,21.503,6.0,1.0,0.0,26.06067,-80.1325,4.71,0.2716,0.01160020786069962,Pleasure,MYLIN IV,0.01205415544093158,0,0,0.0,1.1303687143187313e-06,0,0.006,0
319469000,0.011073825503355705,0.03350744305670615,0.0,0.2,0.0011227487401984152,79.371,146.411,0.6485,21.592,6.0,1.0,0.904,29.73867,-95.12005,8.89,1.147,0.01230498187901207,Tanker,STOLT STREAM,0.09269472248889699,0,0,0.0,2.8633138107202157e-06,0,0.0463,0
319478000,4.640740740740741,5.84713403955104,0.0,12.3,34.188976476476526,639.235,146.317,0.1863,45.277,5.0,1.0,420.313,28.65995,-94.42727,82.92,2.4466,4.891335911152411,Tanker,STOLT SEA,0.5370261468656443,0,0,0.0,5.6448145600021595e-05,0,0.2685,0
319489000,8.580257510729615,5.645833627809132,0.0,14.8,31.87543735290056,1642.639,146.362,0.0818,23.469,6.0,1.0,342.737,29.25536,-94.57605,23.99,0.9418,6.710143453789626,Tanker,STOLT INNOVATION,0.4579194621481947,0,0,0.0,2.1439708367226817e-05,0,0.229,0
319498000,12.9,0.0,12.9,12.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.5819,-81.27488,59.62,0.0,0.0,Tanker,STOLT CREATIVITY,0.5753556018125247,0,0,0.0,0.00017366523575382893,0,0.2877,0
319513000,0.11549295774647889,0.0768075281353958,0.0,0.4,0.005899396378269623,32.295,74.436,0.6974,45.464,2.0,1.0,10.517,18.43853,-64.44621,19.08,0.1626,0.020698043643375796,Sailing,ANNA CHRISTINA,0.23623560508939934,0,0,0.0,9.286931860465972e-06,0,0.1181,0
319524000,0.06677018633540373,0.053953972358840314,0.0,0.2,0.0029110311332985026,0.0,146.312,1.0,21.651,6.0,1.0,0.0,32.70417,-117.162,2.74,0.1159,0.007880672098799047,Pleasure,DYTAN,0.01817569802693786,0,0,0.0,1.2263221599534021e-06,0,0.0091,0
319545000,0.0,0.0,0.0,0.0,0.0,0.109,2.7,0.9613,0.1,0.0,0.0,0.0,40.64863,-74.09825,3.86,0.0,0.0,Tanker,STOLT SURF,0.2168503982118476,0,0,0.0,4.421727810909935e-06,0,0.1084,0
319560000,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.03405,-63.10366,2.97,0.0,0.0,Pleasure,Q,0.3233752364763124,0,0,0.0,5.8672695553530225e-06,0,0.1617,0
319576000,9.8,0.25639117400668854,9.1,10.3,0.06573643410852713,49.036,2.683,0.0519,0.058,0.0,0.0,0.0,26.11731,-79.53248,64.87,0.0,0.0,Pleasure,SAFIRA,0.46825651853300687,0,0,0.0,8.950123270234375e-06,0,0.2341,0
319577000,0.0,0.0,0.0,0.0,0.0,0.773,146.361,0.9947,21.602,6.0,1.0,0.002,47.64689,-122.33143,5.21,0.0,0.0,Pleasure,ICE BEAR,0.012094397349310282,0,0,0.0,5.297891243447959e-07,0,0.006,0
319587000,0.00032362459546925567,0.005688801239885744,0.0,0.1,3.236245954692584e-05,0.216,146.366,0.9985,21.5,6.0,1.0,0.0,26.75976,-80.04152,1.21,0.5972,0.0007713560673657699,Pleasure,SIBONEY,0.0045892482709726234,0,0,0.0,5.506742864739359e-07,0,0.0023,0
319589000,0.5993839835728954,1.825443074460789,0.0,18.1,3.3322424180968513,15.697,146.315,0.9031,21.519,6.0,1.0,0.032,26.09881,-80.16165,4.99,0.7027,0.3594756326166879,Pleasure,LORETTA ANNE,0.1636585975676791,0,0,0.0,7.3774002005711905e-06,0,0.0818,0
